uniqueID,preLimVal,region,hemi,genotype,postLimVal,removeRegion,parent,major,x,y
app_LGd_left,0.797430973,LGd,left,app,0.797430973,FALSE,LGd,TH,app,LGd_left
app_LGd_right,0.741730009,LGd,right,app,0.741730009,FALSE,LGd,TH,app,LGd_right
app_LGv_left,0.725763486,LGv,left,app,0.725763486,FALSE,LGv,TH,app,LGv_left
app_LGv_right,0.815717655,LGv,right,app,0.815717655,FALSE,LGv,TH,app,LGv_right
app_LH_left,0.168605271,LH,left,app,0.168605271,FALSE,LH,TH,app,LH_left
app_LH_right,0.115108959,LH,right,app,0.115108959,FALSE,LH,TH,app,LH_right
app_LHA_left,0.344511648,LHA,left,app,0.344511648,FALSE,LHA,HY,app,LHA_left
app_LHA_right,0.339382049,LHA,right,app,0.339382049,FALSE,LHA,HY,app,LHA_right
app_ll_left,0.269673914,ll,left,app,0.269673914,TRUE,ll,fiber tracts,app,ll_left
app_ll_right,0.220096848,ll,right,app,0.220096848,TRUE,ll,fiber tracts,app,ll_right
app_LM_left,0.069841834,LM,left,app,0.069841834,FALSE,LM,HY,app,LM_left
app_LM_right,-0.025855571,LM,right,app,0,FALSE,LM,HY,app,LM_right
app_lotg_left,0.384184956,lotg,left,app,0.384184956,TRUE,In,fiber tracts,app,lotg_left
app_lotg_right,0.284483588,lotg,right,app,0.284483588,TRUE,In,fiber tracts,app,lotg_right
app_LP_left,0.760419668,LP,left,app,0.760419668,FALSE,LP,TH,app,LP_left
app_LP_right,0.752179786,LP,right,app,0.752179786,FALSE,LP,TH,app,LP_right
app_LPO_left,0.792950051,LPO,left,app,0.792950051,FALSE,LPO,HY,app,LPO_left
app_LPO_right,0.766407393,LPO,right,app,0.766407393,FALSE,LPO,HY,app,LPO_right
app_LS_left,0.872433036,LS,left,app,0.872433036,FALSE,LS,STR,app,LS_left
app_LS_right,0.854159788,LS,right,app,0.854159788,FALSE,LS,STR,app,LS_right
app_LT_left,0.46008223,LT,left,app,0.46008223,FALSE,LT,MB,app,LT_left
app_LT_right,0.554570587,LT,right,app,0.554570587,FALSE,LT,MB,app,LT_right
app_MA3_left,0.326592763,MA3,left,app,0.326592763,FALSE,MA3,MB,app,MA3_left
app_MA3_right,0.626871785,MA3,right,app,0.626871785,FALSE,MA3,MB,app,MA3_right
app_MB_left,0.415489892,MB,left,app,0.415489892,FALSE,MB,MB,app,MB_left
app_MB_right,0.366567986,MB,right,app,0.366567986,FALSE,MB,MB,app,MB_right
app_MBmot_left,0.804841751,MBmot,left,app,0.804841751,FALSE,MB,MB,app,MBmot_left
app_MBmot_right,0.82674004,MBmot,right,app,0.82674004,FALSE,MB,MB,app,MBmot_right
app_MBsta_left,0.628934225,MBsta,left,app,0.628934225,FALSE,MB,MB,app,MBsta_left
app_MBsta_right,0.790781248,MBsta,right,app,0.790781248,FALSE,MB,MB,app,MBsta_right
app_mcp_left,0.315783379,mcp,left,app,0.315783379,TRUE,mcp,fiber tracts,app,mcp_left
app_mcp_right,0.117816189,mcp,right,app,0.117816189,TRUE,mcp,fiber tracts,app,mcp_right
app_MD_left,0.636829109,MD,left,app,0.636829109,FALSE,MD,TH,app,MD_left
app_MD_right,0.641606703,MD,right,app,0.641606703,FALSE,MD,TH,app,MD_right
app_ME_left,-1.860993912,ME,left,app,0,FALSE,ME,HY,app,ME_left
app_ME_right,-2.415282315,ME,right,app,0,FALSE,ME,HY,app,ME_right
app_MEA_left,0.839123358,MEA,left,app,0.839123358,FALSE,MEA,STR,app,MEA_left
app_MEA_right,0.849664955,MEA,right,app,0.849664955,FALSE,MEA,STR,app,MEA_right
app_MEZ_left,-0.26017883,MEZ,left,app,0,FALSE,MEZ,HY,app,MEZ_left
app_MEZ_right,0.351114639,MEZ,right,app,0.351114639,FALSE,MEZ,HY,app,MEZ_right
app_mfb_left,-0.244958582,mfb,left,app,0,TRUE,mfb,fiber tracts,app,mfb_left
app_mfb_right,0.026079134,mfb,right,app,0.026079134,TRUE,mfb,fiber tracts,app,mfb_right
app_MG_left,0.791946743,MG,left,app,0.791946743,FALSE,MG,TH,app,MG_left
app_MG_right,0.724287055,MG,right,app,0.724287055,FALSE,MG,TH,app,MG_right
