uniqueID,preLimVal,region,hemi,mouse,genotype,mpi,postLimVal,removeRegion,parent,major,x,y
2314_app_9_MEA_right,-0.865026092,MEA,right,2314,app,9,-0.865026092,FALSE,MEA,STR,2314_app_9,MEA_right
2314_app_9_ME_left,-1.029209373,ME,left,2314,app,9,-1.029209373,FALSE,ME,HY,2314_app_9,ME_left
2314_app_9_ME_right,-0.719390777,ME,right,2314,app,9,-0.719390777,FALSE,ME,HY,2314_app_9,ME_right
2314_app_9_MG_left,-1.465393371,MG,left,2314,app,9,-1.465393371,FALSE,MG,TH,2314_app_9,MG_left
2314_app_9_MG_right,-1.613430006,MG,right,2314,app,9,-1.613430006,FALSE,MG,TH,2314_app_9,MG_right
2314_app_9_MH_left,0.000961463,MH,left,2314,app,9,0.000961463,FALSE,MH,TH,2314_app_9,MH_left
2314_app_9_MH_right,-0.079240776,MH,right,2314,app,9,-0.079240776,FALSE,MH,TH,2314_app_9,MH_right
2314_app_9_MM_left,-0.576844523,MM,left,2314,app,9,-0.576844523,FALSE,MM,HY,2314_app_9,MM_left
2314_app_9_MM_right,-0.768071031,MM,right,2314,app,9,-0.768071031,FALSE,MM,HY,2314_app_9,MM_right
2314_app_9_MOp_left,-1.545187182,MOp,left,2314,app,9,-1.545187182,FALSE,MOp,Isocortex,2314_app_9,MOp_left
2314_app_9_MOp_right,-1.738603004,MOp,right,2314,app,9,-1.738603004,FALSE,MOp,Isocortex,2314_app_9,MOp_right
2314_app_9_MOs_left,-1.560860367,MOs,left,2314,app,9,-1.560860367,FALSE,MOs,Isocortex,2314_app_9,MOs_left
2314_app_9_MOs_right,-1.469738335,MOs,right,2314,app,9,-1.469738335,FALSE,MOs,Isocortex,2314_app_9,MOs_right
2314_app_9_MPT_left,-2.711775736,MPT,left,2314,app,9,-2,FALSE,MPT,MB,2314_app_9,MPT_left
2314_app_9_MPT_right,-1.673289145,MPT,right,2314,app,9,-1.673289145,FALSE,MPT,MB,2314_app_9,MPT_right
2314_app_9_MRN_left,-1.516256353,MRN,left,2314,app,9,-1.516256353,FALSE,MRN,MB,2314_app_9,MRN_left
2314_app_9_MRN_right,-0.427678411,MRN,right,2314,app,9,-0.427678411,FALSE,MRN,MB,2314_app_9,MRN_right
2314_app_9_MS_left,0.009424948,MS,left,2314,app,9,0.009424948,FALSE,MS,PAL,2314_app_9,MS_left
2314_app_9_MS_right,0.361932515,MS,right,2314,app,9,0.361932515,FALSE,MS,PAL,2314_app_9,MS_right
2314_app_9_MT_left,-2.2510121,MT,left,2314,app,9,-2,FALSE,MT,MB,2314_app_9,MT_left
2314_app_9_MT_right,-1.179875215,MT,right,2314,app,9,-1.179875215,FALSE,MT,MB,2314_app_9,MT_right
2314_app_9_NB_left,-0.770876978,NB,left,2314,app,9,-0.770876978,FALSE,NB,MB,2314_app_9,NB_left
2314_app_9_NB_right,-1.653431283,NB,right,2314,app,9,-1.653431283,FALSE,NB,MB,2314_app_9,NB_right
2314_app_9_NDB_left,-0.285207714,NDB,left,2314,app,9,-0.285207714,FALSE,NDB,PAL,2314_app_9,NDB_left
2314_app_9_NDB_right,0.132299593,NDB,right,2314,app,9,0.132299593,FALSE,NDB,PAL,2314_app_9,NDB_right
2314_app_9_ND_left,-1.656461694,ND,left,2314,app,9,-1.656461694,FALSE,ND,MB,2314_app_9,ND_left
2314_app_9_ND_right,-1.514319124,ND,right,2314,app,9,-1.514319124,FALSE,ND,MB,2314_app_9,ND_right
2314_app_9_NLL_left,-1.882485106,NLL,left,2314,app,9,-1.882485106,FALSE,NLL,P,2314_app_9,NLL_left
2314_app_9_NLL_right,-1.852720011,NLL,right,2314,app,9,-1.852720011,FALSE,NLL,P,2314_app_9,NLL_right
2314_app_9_NOT_left,-1.442236761,NOT,left,2314,app,9,-1.442236761,FALSE,NOT,MB,2314_app_9,NOT_left
2314_app_9_NOT_right,-1.43895941,NOT,right,2314,app,9,-1.43895941,FALSE,NOT,MB,2314_app_9,NOT_right
2314_app_9_NPC_left,-1.699487619,NPC,left,2314,app,9,-1.699487619,FALSE,NPC,MB,2314_app_9,NPC_left
2314_app_9_NPC_right,-1.30758564,NPC,right,2314,app,9,-1.30758564,FALSE,NPC,MB,2314_app_9,NPC_right
2314_app_9_OLF_left,-1.757361534,OLF,left,2314,app,9,-1.757361534,FALSE,OLF,OLF,2314_app_9,OLF_left
2314_app_9_OLF_right,-1.525778796,OLF,right,2314,app,9,-1.525778796,FALSE,OLF,OLF,2314_app_9,OLF_right
2314_app_9_OP_left,-1.46251451,OP,left,2314,app,9,-1.46251451,FALSE,OP,MB,2314_app_9,OP_left
2314_app_9_OP_right,-5,OP,right,2314,app,9,-2,FALSE,OP,MB,2314_app_9,OP_right
2314_app_9_ORBl_left,-1.747233467,ORBl,left,2314,app,9,-1.747233467,FALSE,ORB,Isocortex,2314_app_9,ORBl_left
2314_app_9_ORBl_right,-1.499945849,ORBl,right,2314,app,9,-1.499945849,FALSE,ORB,Isocortex,2314_app_9,ORBl_right
2314_app_9_ORBm_left,-1.697580471,ORBm,left,2314,app,9,-1.697580471,FALSE,ORB,Isocortex,2314_app_9,ORBm_left
2314_app_9_ORBm_right,-1.489873473,ORBm,right,2314,app,9,-1.489873473,FALSE,ORB,Isocortex,2314_app_9,ORBm_right
2314_app_9_ORBvl_left,-1.297893787,ORBvl,left,2314,app,9,-1.297893787,FALSE,ORB,Isocortex,2314_app_9,ORBvl_left
2314_app_9_ORBvl_right,-1.410664784,ORBvl,right,2314,app,9,-1.410664784,FALSE,ORB,Isocortex,2314_app_9,ORBvl_right
2314_app_9_OT_left,-1.628381022,OT,left,2314,app,9,-1.628381022,FALSE,OT,STR,2314_app_9,OT_left
2314_app_9_OT_right,-1.62282998,OT,right,2314,app,9,-1.62282998,FALSE,OT,STR,2314_app_9,OT_right
2314_app_9_PAA_left,-1.448163595,PAA,left,2314,app,9,-1.448163595,FALSE,PAA,OLF,2314_app_9,PAA_left
2314_app_9_PAA_right,-1.237545307,PAA,right,2314,app,9,-1.237545307,FALSE,PAA,OLF,2314_app_9,PAA_right
2314_app_9_PAG_left,-1.157454134,PAG,left,2314,app,9,-1.157454134,FALSE,PAG,MB,2314_app_9,PAG_left
2314_app_9_PAG_right,-1.217217724,PAG,right,2314,app,9,-1.217217724,FALSE,PAG,MB,2314_app_9,PAG_right
2314_app_9_PAL_left,-1.364412472,PAL,left,2314,app,9,-1.364412472,FALSE,PAL,PAL,2314_app_9,PAL_left
2314_app_9_PAL_right,-1.025926073,PAL,right,2314,app,9,-1.025926073,FALSE,PAL,PAL,2314_app_9,PAL_right
2314_app_9_PALd_left,-1.61415315,PALd,left,2314,app,9,-1.61415315,FALSE,PAL,PAL,2314_app_9,PALd_left
2314_app_9_PALd_right,-1.467622574,PALd,right,2314,app,9,-1.467622574,FALSE,PAL,PAL,2314_app_9,PALd_right
2314_app_9_PAR_left,-0.060833107,PAR,left,2314,app,9,-0.060833107,FALSE,PAR,HPF,2314_app_9,PAR_left
2314_app_9_PAR_right,0.452890059,PAR,right,2314,app,9,0.452890059,FALSE,PAR,HPF,2314_app_9,PAR_right
2314_app_9_PA_left,-0.811381711,PA,left,2314,app,9,-0.811381711,FALSE,PA,CTXsp,2314_app_9,PA_left
2314_app_9_PA_right,-0.201621495,PA,right,2314,app,9,-0.201621495,FALSE,PA,CTXsp,2314_app_9,PA_right
2314_app_9_PBG_left,-1.696405762,PBG,left,2314,app,9,-1.696405762,FALSE,PBG,MB,2314_app_9,PBG_left
2314_app_9_PBG_right,-1.609255791,PBG,right,2314,app,9,-1.609255791,FALSE,PBG,MB,2314_app_9,PBG_right
2314_app_9_PCN_left,-2.578132538,PCN,left,2314,app,9,-2,FALSE,PCN,TH,2314_app_9,PCN_left
2314_app_9_PCN_right,-1.917009325,PCN,right,2314,app,9,-1.917009325,FALSE,PCN,TH,2314_app_9,PCN_right
2314_app_9_PERI_left,-1.418096489,PERI,left,2314,app,9,-1.418096489,FALSE,PERI,Isocortex,2314_app_9,PERI_left
2314_app_9_PERI_right,0.495485989,PERI,right,2314,app,9,0.495485989,FALSE,PERI,Isocortex,2314_app_9,PERI_right
2314_app_9_PG_left,-1.864032113,PG,left,2314,app,9,-1.864032113,FALSE,PG,P,2314_app_9,PG_left
