region,mean_post,sd_post,mean_prior,sd_prior,ks_pvalue,updated
iDG,-0.4815366192643882,0.7765384355635232,0.0,1.0,2.0830351224079824e-175,1
iFC,-0.9734197033035911,0.5854970376749998,0.0,1.0,0.0,1
iIG,-0.8312381595061544,0.5049319322709133,0.0,1.0,0.0,1
iENTl,0.19500896441935436,0.12392125895588182,0.0,1.0,0.0,1
iENTm,0.1529418296330661,0.12887199861749588,0.0,1.0,0.0,1
iPAR,-0.99971703140746,0.6079733216678819,0.0,1.0,0.0,1
iPOST,-1.1527131721399906,0.5542605057090978,0.0,1.0,0.0,1
iPRE,-1.002834843550565,0.5579521642989645,0.0,1.0,0.0,1
iSUB,-1.3014750414608203,0.5588840995638161,0.0,1.0,0.0,1
iProS,-1.7770417772679707,0.5345169696440429,0.0,1.0,0.0,1
iHATA,-1.8180269183682258,0.48950384166338523,0.0,1.0,0.0,1
iAPr,-0.8228544930473108,0.6104813042953752,0.0,1.0,0.0,1
iCLA,-0.28564051055791984,0.10467794307298867,0.0,1.0,0.0,1
iEP,0.13650038960156904,0.06220224473278206,0.0,1.0,0.0,1
iLA,-0.03524790208313665,0.03703620136491978,0.0,1.0,0.0,1
iBLA,1.5812714337425353,0.026722824358277195,0.0,1.0,0.0,1
iBMA,0.8447691452031939,0.02551823885364856,0.0,1.0,0.0,1
iPA,0.11423801898386407,0.024021268393177517,0.0,1.0,0.0,1
iCP,4.006422364972984,0.49391957945259013,0.0,1.0,0.0,1
iACB,1.510136033200302,0.057086812404888485,0.0,1.0,0.0,1
iFS,-0.33914673124783756,0.3726727877697116,0.0,1.0,0.0,1
iOT,-0.6982034395130149,0.6204459519960918,0.0,1.0,0.0,1
iLS,-0.32843950149682577,0.7491936937993176,0.0,1.0,2.503979038777919e-120,1
iSF,-0.7608439348928814,0.6292519391129404,0.0,1.0,0.0,1
iSH,0.23547101670254408,0.028164787558429254,0.0,1.0,0.0,1
iBA,-1.553083286055888,0.544323134170287,0.0,1.0,0.0,1
iCEA,0.769337126281508,0.019253777479537996,0.0,1.0,0.0,1
iIA,-0.12642551876405383,0.06074657626265275,0.0,1.0,0.0,1
iMEA,0.15621796600205995,0.24409173437183962,0.0,1.0,0.0,1
iPALd,-1.1862976170550839,0.5762735672618958,0.0,1.0,0.0,1
iSI,-0.6646704744972451,0.6673654828546527,0.0,1.0,0.0,1
iMA,-1.0970940271917584,0.5445285694443304,0.0,1.0,0.0,1
iMS,-1.1529988275133274,0.5787533610952935,0.0,1.0,0.0,1
iNDB,-0.8778715632753115,0.6029025464031189,0.0,1.0,0.0,1
iBST,0.685960230927432,0.028649362010065686,0.0,1.0,0.0,1
iVAL,-1.8146486688260812,0.523949893153801,0.0,1.0,0.0,1
iVM,-1.625958119592973,0.5385238542218831,0.0,1.0,0.0,1
iVPL,-1.7182973054203585,0.559233275644641,0.0,1.0,0.0,1
iVPM,-1.6341202240615065,0.5613675977289219,0.0,1.0,0.0,1
iPoT,-2.0253263018596583,0.5098814625549922,0.0,1.0,0.0,1
iSPF,-1.6763961035460293,0.5131819567055366,0.0,1.0,0.0,1
iSPA,-1.1750391856127063,0.5453845700659555,0.0,1.0,0.0,1
iPP,-2.080513198365292,0.5184322060343121,0.0,1.0,0.0,1
iMG,-2.0886117684706984,0.555210961966006,0.0,1.0,0.0,1
iLGd,-1.3412102833746227,0.5688774851947993,0.0,1.0,0.0,1
iLP,-1.283532570330472,0.5792778516090855,0.0,1.0,0.0,1
iPO,-1.5191955760677376,0.5399058223292632,0.0,1.0,0.0,1
iPOL,-2.1248197075140633,0.5476541963969083,0.0,1.0,0.0,1
iSGN,-2.0295819621465014,0.5146595362367169,0.0,1.0,0.0,1
iEth,-1.5946881448621881,0.48986741188325394,0.0,1.0,0.0,1
iLD,-1.1175605636145873,0.5977206105669092,0.0,1.0,0.0,1
iIMD,-0.15691385232773264,0.05897229029556476,0.0,1.0,0.0,1
iMD,-0.8200828960494866,0.4410939671946554,0.0,1.0,0.0,1
iSMT,-1.6946351714204329,0.5057460260487681,0.0,1.0,0.0,1
iPR,-1.8586414672171254,0.5012197472507177,0.0,1.0,0.0,1
iPVT,-0.11430014723140132,0.08154200817716226,0.0,1.0,0.0,1
iRE,-1.5261830994171581,0.5150839487549654,0.0,1.0,0.0,1
iXi,-2.6228215733887024,0.5146567717896732,0.0,1.0,0.0,1
iRH,-0.02162452402968819,0.03976353222638517,0.0,1.0,0.0,1
iCM,0.17995459663677496,0.04593171234381108,0.0,1.0,0.0,1
iPCN,-1.201650311793809,0.4064660721227976,0.0,1.0,0.0,1
iCL,-0.9559915247609346,0.405487274818039,0.0,1.0,0.0,1
iPF,-0.10500780280217238,0.189383530482135,0.0,1.0,0.0,1
iPIL,-2.2138478253798684,0.5448816514584331,0.0,1.0,0.0,1
iRT,-1.2713971910809387,0.5561425148450897,0.0,1.0,0.0,1
iIGL,-1.547630738190142,0.5089349513605296,0.0,1.0,0.0,1
iIntG,-1.7569126361646854,0.5381903761589386,0.0,1.0,0.0,1
iLGv,-1.8814711804858255,0.5299086049415094,0.0,1.0,0.0,1
iSubG,-1.6930117231095367,0.5720425168139108,0.0,1.0,0.0,1
