region,mean_post,sd_post,mean_prior,sd_prior,ks_pvalue,updated
iPC5,0.07957512265083842,0.06255249458035524,0.07978845608028654,0.060281027498908714,0.038037164035984165,0
iCS,0.0806683447510404,0.06161375508856162,0.07978845608028654,0.060281027498908714,0.6530542667451203,0
iPRNr,0.07872574580357755,0.062279771444978205,0.07978845608028654,0.060281027498908714,0.0039890061378202515,0
iNTB,0.08031203311845245,0.061178361194119485,0.07978845608028654,0.060281027498908714,0.8841231508855522,0
iCB,0.08046562910033883,0.05961281007094422,0.07978845608028654,0.060281027498908714,0.12913455735269178,0
cFRP,0.025790653117239055,0.02092427545952441,0.07978845608028654,0.060281027498908714,0.0,1
cMOp,0.07857326249140743,0.05924782722415591,0.07978845608028654,0.060281027498908714,0.3145304057925359,0
cMOs,0.060100548111610363,0.05071814338361637,0.07978845608028654,0.060281027498908714,7.162760818901424e-72,1
cSSp-n,0.08121730563813155,0.05811841803492738,0.07978845608028654,0.060281027498908714,0.0004772529420264687,1
cSSp-bfd,0.0792904597872217,0.059827778725082464,0.07978845608028654,0.060281027498908714,0.5566601298323383,0
cSSp-ll,0.08079048099224438,0.059601345771880296,0.07978845608028654,0.060281027498908714,0.00809452546043854,0
cSSp-m,0.07778260667904109,0.05969267623841026,0.07978845608028654,0.060281027498908714,0.09661096341618497,0
cSSp-ul,0.08015676051069255,0.05893354483287145,0.07978845608028654,0.060281027498908714,0.049254799827594904,0
cSSp-tr,0.08195607628174745,0.06077919223483171,0.07978845608028654,0.060281027498908714,0.013161747832994888,0
cSSp-un,0.08117863517301527,0.06094147162030983,0.07978845608028654,0.060281027498908714,0.08654298543228969,0
cSSs,0.08055553743726034,0.06068680349277776,0.07978845608028654,0.060281027498908714,0.69647695576403,0
cGU,0.0864361607734867,0.06467483166178017,0.07978845608028654,0.060281027498908714,7.071598204809238e-7,1
cVISC,0.09161526982619869,0.06749242647597653,0.07978845608028654,0.060281027498908714,3.303730179789383e-18,1
